InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536592,84913B,MINT GREEN ROSE TOWEL,2,12/1/2010 17:06,3.36,,United Kingdom
536569,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12/1/2010 15:35,12.75,16274.0,United Kingdom
536592,22792,FLUTED ANTIQUE CANDLE HOLDER,4,12/1/2010 17:06,1.66,,United Kingdom
536592,22309,TEA COSY RED  STRIPE,1,12/1/2010 17:06,5.06,,United Kingdom
536590,21055,TOOL BOX SOFT TOY ,1,12/1/2010 16:52,8.95,13065.0,United Kingdom
536597,72803A,ROSE SCENT CANDLE JEWELLED DRAWER,1,12/1/2010 17:35,4.25,18011.0,United Kingdom
536742,21211,SET OF 72 SKULL PAPER  DOILIES,1,12/2/2010 13:14,1.45,16916.0,United Kingdom
536585,37449,CERAMIC CAKE STAND + HANGING CAKES,2,12/1/2010 16:24,9.95,17460.0,United Kingdom
536592,90124B,BLUE MURANO TWIST NECKLACE,1,12/1/2010 17:06,10.17,,United Kingdom
536613,22818,CARD CHRISTMAS VILLAGE,12,12/2/2010 9:44,0.42,17855.0,United Kingdom
536592,21786,POLKADOT RAIN HAT ,7,12/1/2010 17:06,0.85,,United Kingdom
536592,22499,WOODEN UNION JACK BUNTING,1,12/1/2010 17:06,12.72,,United Kingdom
536674,21034,REX CASH+CARRY JUMBO SHOPPER,5,12/2/2010 12:16,0.95,15923.0,United Kingdom
536592,84086C,PINK/PURPLE RETRO RADIO,1,12/1/2010 17:06,4.21,,United Kingdom
536557,21479,WHITE SKULL HOT WATER BOTTLE ,5,12/1/2010 14:41,3.75,17841.0,United Kingdom
536624,21915,RED  HARMONICA IN BOX ,12,12/2/2010 10:45,1.25,13418.0,United Kingdom
536571,21790,VINTAGE SNAP CARDS,12,12/1/2010 15:37,0.85,14696.0,United Kingdom
536557,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,1,12/1/2010 14:41,1.25,17841.0,United Kingdom
536569,22119,PEACE WOODEN BLOCK LETTERS,1,12/1/2010 15:35,6.95,16274.0,United Kingdom
536676,21563,RED HEART SHAPE LOVE BUCKET ,6,12/2/2010 12:18,2.95,16752.0,United Kingdom
536592,22112,CHOCOLATE HOT WATER BOTTLE,3,12/1/2010 17:06,11.02,,United Kingdom
536578,22866,HAND WARMER SCOTTY DOG DESIGN,24,12/1/2010 16:15,2.1,17690.0,United Kingdom
